date,item,units_sold,price_usd,revenue_usd,promo_flag,holiday_flag,weekend_flag,stockout_flag
2022-01-01 00:00:00,Apples,192,1.29,247.68,0,0,1,0
2022-01-02 00:00:00,Apples,186,1.29,239.62,0,0,1,0
2022-01-03 00:00:00,Apples,182,1.29,234.33,0,0,0,0
2022-01-04 00:00:00,Apples,201,1.29,259.07,0,0,0,0
2022-01-05 00:00:00,Apples,213,1.29,274.57,0,0,0,0
2022-01-06 00:00:00,Apples,184,1.29,236.95,0,0,0,0
2022-01-07 00:00:00,Apples,183,1.29,235.56,0,0,0,0
2022-01-08 00:00:00,Apples,189,1.28,242.78,0,0,1,0
2022-01-09 00:00:00,Apples,197,1.28,253.01,0,0,1,0
2022-01-10 00:00:00,Apples,204,1.28,262,0,0,0,0
2022-01-11 00:00:00,Apples,208,1.28,266.74,0,0,0,0
2022-01-12 00:00:00,Apples,209,1.28,268.17,0,0,0,0
2022-01-13 00:00:00,Apples,210,1.28,269.43,0,0,0,0
2022-01-14 00:00:00,Apples,178,1.28,228.25,0,0,0,0
2022-01-15 00:00:00,Apples,190,1.28,243.23,0,0,1,0
2022-01-16 00:00:00,Apples,212,1.28,271.13,0,0,1,0
2022-01-17 00:00:00,Apples,256,1.19,303.39,1,1,0,0
2022-01-18 00:00:00,Apples,232,1.19,275.18,1,0,0,0
2022-01-19 00:00:00,Apples,246,1.14,281.31,1,0,0,0
2022-01-20 00:00:00,Apples,248,1.13,280.57,1,0,0,0
2022-01-21 00:00:00,Apples,235,1.2,282.7,1,0,0,0
2022-01-22 00:00:00,Apples,237,1.13,267.68,1,0,1,0
2022-01-23 00:00:00,Apples,190,1.28,243.44,0,0,1,0
2022-01-24 00:00:00,Apples,196,1.28,250.71,0,0,0,0
2022-01-25 00:00:00,Apples,197,1.28,252.43,0,0,0,0
2022-01-26 00:00:00,Apples,200,1.28,255.83,0,0,0,0
2022-01-27 00:00:00,Apples,184,1.28,235.5,0,0,0,0
2022-01-28 00:00:00,Apples,187,1.28,239.27,0,0,0,0
2022-01-29 00:00:00,Apples,192,1.28,245.64,0,0,1,0
2022-01-30 00:00:00,Apples,207,1.28,264.45,0,0,1,0
2022-01-31 00:00:00,Apples,196,1.28,250.24,0,0,0,0
2022-02-01 00:00:00,Apples,199,1.28,254.18,0,0,0,0
2022-02-02 00:00:00,Apples,216,1.28,276.04,0,0,0,0
2022-02-03 00:00:00,Apples,213,1.28,272.88,0,0,0,0
2022-02-04 00:00:00,Apples,198,1.28,253.5,0,0,0,0
2022-02-05 00:00:00,Apples,203,1.28,259.75,0,0,1,0
2022-02-06 00:00:00,Apples,200,1.28,256.12,0,0,1,0
2022-02-07 00:00:00,Apples,197,1.28,252.42,0,0,0,0
2022-02-08 00:00:00,Apples,222,1.28,284.55,0,0,0,0
2022-02-09 00:00:00,Apples,223,1.28,285.55,0,0,0,0
2022-02-10 00:00:00,Apples,208,1.28,266.41,0,0,0,0
2022-02-11 00:00:00,Apples,239,1.17,278.84,1,0,0,0
2022-02-12 00:00:00,Apples,238,1.15,274.35,1,0,1,0
2022-02-13 00:00:00,Apples,229,1.13,259.33,1,0,1,0
2022-02-14 00:00:00,Apples,255,1.19,304.08,1,0,0,0
2022-02-15 00:00:00,Apples,270,1.18,318.21,1,0,0,0
2022-02-16 00:00:00,Apples,266,1.18,314.62,1,0,0,0
2022-02-17 00:00:00,Apples,223,1.28,286.01,0,0,0,0
2022-02-18 00:00:00,Apples,202,1.28,259.32,0,0,0,0
2022-02-19 00:00:00,Apples,194,1.29,249.31,0,0,1,0
2022-02-20 00:00:00,Apples,205,1.28,263.2,0,0,1,0
2022-02-21 00:00:00,Apples,219,1.29,281.51,0,1,0,0
2022-02-22 00:00:00,Apples,218,1.29,280.26,0,0,0,0
2022-02-23 00:00:00,Apples,207,1.28,265.9,0,0,0,0
